TEAM SEASON,WIN%,PTS,FG%,FT%,PERSONAL FOULS +/-
2007-08 Philadelphia 76ers,0.488,96.6,46.0,70.6,0.4
2007-08 Phoenix Suns,0.6709999999999999,110.1,50.0,78.3,5.0
2007-08 Portland Trail Blazers,0.5,95.4,44.8,76.7,-1.0
2007-08 Sacramento Kings,0.463,102.5,46.4,79.8,-2.3
2007-08 San Antonio Spurs,0.6829999999999999,95.4,45.7,76.1,4.8
2007-08 Seattle SuperSonics,0.244,97.5,44.4,77.0,-8.8
2007-08 Toronto Raptors,0.5,100.2,46.8,81.2,2.9
2007-08 Utah Jazz,0.659,106.2,49.7,75.9,6.9
2007-08 Washington Wizards,0.524,98.8,44.6,78.2,-0.3
2006-07 Atlanta Hawks,0.366,93.7,44.4,76.1,-4.8
2006-07 Boston Celtics,0.293,95.8,44.3,76.7,-3.4
2006-07 Charlotte Bobcats,0.402,96.9,44.6,73.4,-3.7
2006-07 Chicago Bulls,0.598,98.8,45.7,73.4,5.0
2006-07 Cleveland Cavaliers,0.61,96.8,44.7,69.6,3.8
2006-07 Dallas Mavericks,0.8170000000000001,100.0,46.7,80.5,7.2
2006-07 Denver Nuggets,0.5489999999999999,105.4,46.5,74.6,1.6
2006-07 Detroit Pistons,0.6459999999999999,96.0,45.4,77.4,4.2
2006-07 Golden State Warriors,0.512,106.5,46.3,71.7,-0.3
2006-07 Houston Rockets,0.634,97.0,44.5,75.3,4.9
2006-07 Indiana Pacers,0.4270000000000001,95.6,43.8,76.0,-2.4
2006-07 Los Angeles Clippers,0.488,95.6,45.6,78.8,-0.5
2006-07 Los Angeles Lakers,0.512,103.3,46.6,74.7,-0.1
2006-07 Memphis Grizzlies,0.268,101.6,46.5,76.1,-5.1
2006-07 Miami Heat,0.537,94.6,46.4,69.0,-0.9
2006-07 Milwaukee Bucks,0.341,99.7,46.5,73.3,-4.4
2006-07 Minnesota Timberwolves,0.39,96.1,46.1,79.2,-3.7
2006-07 New Jersey Nets,0.5,97.6,45.7,72.7,-0.8
2006-07 New Orleans/Oklahoma City Hornets,0.476,95.5,44.5,74.0,-1.6
2006-07 New York Knicks,0.402,97.5,45.7,71.5,-2.9
2006-07 Orlando Magic,0.488,94.8,47.2,70.2,0.8
